OBJECTID,amenity,project_oi,id,addr_full,company,descriptio,office,operator_t,source,source_dat,source_geo,company_si,contact_em,contact_ph,name,start_date,id_uuid,short_name,source_pos,contact_fa,contact_tw,contact_we,school_FR,atm,contact_li,name_it,operator,addr_stree,opening_ho,building_l,company_st,secondary_,teaching_i,contact_go,fixme,project_pd,addr_city,addr_count,addr_distr,addr_house,addr_postc,addr_provi,addr_subur,level,workshop,addr_hou_1,alt_name,ngo_busine,name_fr,wikidata,wikipedia,company__1,incubator,incubator_,seats,name_en,hackerspac,leisure,email,phone,smoking,website,incubato_1,incubato_2,wheelchair,investor,government,internet_a,addr_place,addr_state,school_HT,operationa,operatio_1,school_dis,school_typ,sector,short_na_1,old_name,phone_1,contact_yo,incubato_3,contact_pe,alt_name_1,contact_in,tourism,informatio,landuse,url,shop,building,internet_1,cuisine,name_ar,image,NEAR_FID,NEAR_DIST,longitude,latitude
1,1,yes,node/4389449006,"Djidjolé, Lomé, Togo", ,ACN est une conciergerie d'entreprises et des services d'entretien,company,private,local_knowledge;oif-dfen_carteinnov,2016-09-06,survey;oif-dfen_carteinnov, ,africaconciegerienet@gmail.com,+228 90509976;+228 97882659;+228 92105297,Africa Conciergerie et Nettoyage,2016, ,ACN, , , , , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2642,0.000893148,1.198888258,6.169419359
2,1,yes,node/4389449007,"Rue Pya, Djidjolé, Lomé, Togo", ,Un espace de travail collaboratif dédié à l'innovation et à l'économie collaborative.,ngo,private,local_knowledge;oif-dfen_carteinnov,2016-09-06,survey;oif-dfen_carteinnov, ,info@africacoworkers.org,+228 91597396,Africa Coworkers,2015, ,AC, ,https://www.facebook.com/africacoworkers/?fref=ts, ,http://africacoworkers.org/, , , , , , , , , ,teaching,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2642,0.000924328,1.198857434,6.169428453
3,1,yes,node/5130705861,"01 BP 3585, Agbalépédogan, Lomé, Togo", ,"Agrisoft est une plateforme web/mobile qui permet la location d'équipements et matériels agricoles entre paysans, entrepreneurs agricoles et equipementiers",ngo,private,local_knowledge;oif-dfen_cartinnov,2016-09-11,survey;oif-dfen_cartinnov, ,contact@ecohub.tg,+228 25558989;+228 98494242,AGRISoft,2016, ,AGRISoft, , , ,http://www.agrisoft.tg, , , , ,Ephrem KOUTOUMNA, , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2893,0.000158449,1.191875394,6.205360804
4,1,yes,node/4351623476,"Route de Djagblé, Derrière la Station Total Kégué", ,Société de services en ingénierie informatique,company,private,local_knowledge;oif-dfen_carteinnov,2016-09-14,survey;oif-dfen_carteinnov,pme,info@appsland.com,+228 22261642,APPSLAND,2011, ,APPSLAND, ,www.facebook.com/appsland,https://twitter.com/appsland,www.appsland.com, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2282,0.000943267,1.241865383,6.205478602
5,1,yes,node/4385205371,"04 BP. 587, Sagbado Apédokoè Adidogomé, Lomé, Togo", ,"Promouvoir, par l'éducation au développement, aux droits humains et à la solidarité, la participation populaire à la lutte pour l'éradication de la pauvreté et l'avènement d'une société plus juste et épanouie.",ngo,community,local_knowledge;oif-dfen_carteinnov,2016-08-19, , ,aped_tg@yahoo.fr,+22826702561;+228 90041412,Association des Praticiens de l’Education au Développement au Togo,2003, ,APED - TOGO,survey;oif-dfen_carteinnov, , ,http://www.apedtg.org, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2588,0.000213691,1.135062761,6.203215145
6,1,yes,node/5130705862,"01 BP 3585, Agbalépédogan, Lomé, Togo", ,L'Association JTDEV est une organisation qui vise la promotion des TIC et l'entrepreneuriat durable dans tous les secteurs d'activités,ngo,private,local_knowledge;oif-dfen_cartinnov,2016-09-09,survey;oif-dfen_cartinnov, ,kephrem08@gmail.com,+228 25558989;+228 98494242,Association Jeunesse Technologie Développement,2006, ,JTDEV, ,https://www.facebook.com/ongjtdev/,https://twitter.com/AssociationJTDe,www.ong-jtdev.org, , , , , , , , , ,teaching,yes, , , , , , , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2893,0.000231282,1.191875394,6.205360804
7,1,yes,node/4413128762,"CIC-UL, Lomé, Togo", ,ATULL fait la promotion et la vulgarisation des logiciels libre au Togo.,ngo,community,local_knowledge;oif-dfen_carteinnov;fonderie_ile-de-france,2016-09-21,survey;oif-dfen_carteinnov, ,atull@atull.tg,+228 90200528,Association Togolaise des Utilisateurs de Logiciels Libres,2001, ,ATULL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,568,0.000398263,1.214791261,6.176235334
8,1,yes,node/4405257894,"01 BP 3518, Agoè Anomé, Lomé, Togo", ,"Etablissement d'enseignement supérieur (licences professionnelles, master)",ngo,private,local_knowledge;oif-dfen_carteinnov,2016-09-16,survey;oif-dfen_carteinnov, ,esiba-iua@esiba-iua.tg,+228 22511787;+228 90814178,Business School Institut Supérieur,1990, ,ESIBA, , , ,www.rsiba-iua.tg, , , , ,KUEVIAKOE ASSIONGBON Vovomé, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3022,0.000350078,1.189819597,6.209086481
9,1,yes,node/4463768003,"Université de Lomé 01BP20165, Lomé, Cotonou", ,"Implantation de l'AUF, plateau technologique et humain utile à la réalisation de projets francophones et au service de la communauté universitaire et de jeunes professionnels pour l'accès, la formation et la production aux savoirs et aux compétences",igo,private,local_knowledge;oif-dfen_carteinnov, ,survey;oif-dfen_carteinnov, , , ,Campus Numérique Francophone de Lomé, , ,CNF, , , ,http://www.tg.refer.org/, , , , ,Agence Universitaire de la Francophonie, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,568,0.001325782,1.21504717,6.174766485
10,1,yes,node/4405283389,"Université de Lomé, BP 1515, Lomé, Togo", ,CIC est une établissement de formation de l’Université de Lomé. Il forme des étudiants en vue de l’obtention d’une Licence Professionnelle en Génie Logiciel ou en Maintenance Informatique et Réseaux., ,public,local_knowledge;oif-dfen_carteinnov;fonderie_ile-de-france,2016-09-15,survey;oif-dfen_carteinnov, , ,+228 22254844,Cente Informatique et de Calcul,1988,urn:fonderie_ile-de-france_pnt_id:cic,CIC, , , ,http://www.cic.univ-lome.tg/, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,568,0.000597106,1.214792103,6.175984
